
Advanced Calibration Data
,Temperature,Cal Date, Tm, Tzs, Tb
,Pressure,Cal Date,m2,m1,m0,b2,b1,b0,Linear(a),Linear(b)
,Temperature,unknown,0.000000,0.00,0.000000
,Pressure,4-Jun-12 14:50:11,0.000004,-0.000244,1.003512,-0.000072,0.004134,0.037016,0.000000,1.000000

Field Calibration Data
,Temperature,Cal Date,m,b
,Pressure,Cal Date,m,b
,Temperature(degC),unknown,1.000000,0.00
,Pressure(psi),unknown,1.000000,0.00

Sensor/Session information
SensorSN, 21204020 ,,Modbus Addr., 2 
Sensor Type,PT2X,,Initialized w/fw Rev,"2. 7"
Sensor Name,Barometric Pressure (2),,Uploaded,"Aqua4Plus 1.9.6"
Session Name,FCR_BV_20220627,,Exported,"Aqua4Plus 1.9.6"
# Records,  2019 
Statistical Data,,Temperature(degC),Pressure(psi),
,Sensor Range,-40 - +125 degC,15 psia,
,Minimum,14.50,13.819,
,Maximum,35.56,14.027,
,Mean,24.88,13.926,
,Variance,24.873,0.0019,
,Std Deviation,4.987,0.0431,
,,,,
,Field Cal Date,unknown,unknown,
Rec #,Date/Time,Temperature(degC),Pressure(psi)
403,1-Jul-22 15:08:46,34.88,13.924
404,1-Jul-22 15:23:46,34.88,13.920
405,1-Jul-22 15:38:46,35.00,13.919
406,1-Jul-22 15:53:46,35.00,13.918
407,1-Jul-22 16:08:46,35.00,13.916
408,1-Jul-22 16:23:46,34.88,13.914
409,1-Jul-22 16:38:46,35.00,13.915
410,1-Jul-22 16:53:46,35.19,13.915
411,1-Jul-22 17:08:46,35.13,13.911
412,1-Jul-22 17:23:46,34.38,13.912
413,1-Jul-22 17:38:46,33.25,13.913
414,1-Jul-22 17:53:46,32.44,13.910
415,1-Jul-22 18:08:46,32.13,13.912
416,1-Jul-22 18:23:46,32.06,13.914
417,1-Jul-22 18:38:46,32.38,13.914
418,1-Jul-22 18:53:46,32.56,13.914
419,1-Jul-22 19:08:46,31.25,13.915
420,1-Jul-22 19:23:46,30.13,13.916
421,1-Jul-22 19:38:46,29.44,13.919
422,1-Jul-22 19:53:46,28.75,13.920
423,1-Jul-22 20:08:46,28.13,13.918
424,1-Jul-22 20:23:46,27.56,13.921
425,1-Jul-22 20:38:46,27.06,13.923
426,1-Jul-22 20:53:46,26.69,13.923
427,1-Jul-22 21:08:46,26.25,13.921
428,1-Jul-22 21:23:46,26.06,13.925
429,1-Jul-22 21:38:46,26.19,13.926
430,1-Jul-22 21:53:46,26.13,13.929
431,1-Jul-22 22:08:46,26.00,13.929
432,1-Jul-22 22:23:46,25.81,13.927
433,1-Jul-22 22:38:46,25.63,13.926
434,1-Jul-22 22:53:46,25.38,13.922
435,1-Jul-22 23:08:46,25.00,13.920
436,1-Jul-22 23:23:46,24.69,13.922
437,1-Jul-22 23:38:46,24.38,13.925
