"","Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_DateTime","Flag_Chla_ugL","Flag_Pheo_ugL"
"307","CCR",50,2015-09-23 12:00:00,19,1,0.4,1,4,4
"308","FCR",50,2015-09-28 12:00:00,9,8.6,1.7,1,0,0
"309","FCR",50,2015-09-28 12:00:00,6.2,11.5,3,1,0,4
"310","FCR",50,2015-09-28 12:00:00,1.6,11.5,3.7,1,0,0
"311","FCR",50,2015-09-28 12:00:00,5,8.1,5.2,1,0,0
"312","FCR",50,2015-09-28 12:00:00,3.8,0,20.1,1,4,0
"313","BVR",50,2015-10-02 12:00:00,12,11.5,0,1,0,4
"314","BVR",50,2015-10-02 12:00:00,6,2.9,0,1,0,4
"315","BVR",50,2015-10-02 12:00:00,3,10.6,1.2,1,0,0
"316","BVR",50,2015-10-02 12:00:00,9,13,2.6,1,0,0
"317","BVR",50,2015-10-02 12:00:00,0.1,4.6,12.4,1,0,0
"318","FCR",50,2015-10-05 12:00:00,3.8,3.5,3.6,1,0,0
"319","FCR",50,2015-10-05 12:00:00,5,6.7,3.7,1,0,0
"320","FCR",50,2015-10-05 12:00:00,9,3.5,4,1,0,0
"321","FCR",50,2015-10-05 12:00:00,6.2,5.8,5.3,1,0,0
"322","FCR",50,2015-10-05 12:00:00,1.6,7.7,6.1,1,0,0
"323","FCR",50,2015-10-19 12:00:00,1.6,2.3,0,1,0,4
"324","FCR",50,2015-10-19 12:00:00,3.8,2.9,0,1,0,4
"325","FCR",50,2015-10-19 12:00:00,6.2,1.7,0,1,0,4
"326","FCR",50,2015-10-19 12:00:00,5,2.9,0,1,0,4
"327","FCR",50,2015-10-19 12:00:00,9,1.7,0,1,0,4
"328","BVR",50,2015-10-23 12:00:00,12,34.6,0,1,0,4
"329","BVR",50,2015-10-23 12:00:00,9,19.2,0,1,0,4
"330","BVR",50,2015-10-23 12:00:00,0.1,3.5,0,1,0,4
"331","BVR",50,2015-10-23 12:00:00,6,5.2,0,1,0,4
"332","BVR",50,2015-10-23 12:00:00,3,2.3,0,1,0,4
"333","CCR",50,2015-10-28 12:00:00,20,0,0,1,4,4
"334","CCR",50,2015-10-28 12:00:00,0.1,6.3,0,1,0,4
"335","CCR",50,2015-10-28 12:00:00,6,5.8,0.9,1,0,0
"336","FCR",50,2015-11-09 12:00:00,5,10.1,0,1,0,4
"337","FCR",50,2015-11-09 12:00:00,6.2,2.9,0,1,0,4
"338","FCR",50,2015-11-09 12:00:00,9,3.5,0,1,0,4
"339","FCR",50,2015-11-09 12:00:00,3.8,4.3,0,1,0,4
"340","FCR",50,2015-11-09 12:00:00,1.6,4.9,0.4,1,0,4
"341","BVR",50,2016-04-20 12:00:00,6,3.9,2.9,1,0,0
"342","FCR",50,2016-04-25 12:00:00,3.8,2.1,0.4,1,1,1
"343","FCR",50,2016-04-25 12:00:00,5,3.5,2,1,1,1
"344","FCR",50,2016-05-02 12:00:00,1.6,3.5,0,1,1,1
"345","FCR",50,2016-05-02 12:00:00,6.2,4.8,2.6,1,0,0
"346","BVR",50,2016-05-04 12:00:00,7,8.3,1.7,1,0,0
"347","FCR",50,2016-05-09 12:00:00,3.8,4.2,2.3,1,0,0
"348","FCR",50,2016-05-09 12:00:00,5,5.5,2.4,1,0,0
"349","BVR",50,2016-05-12 12:00:00,7.5,8.3,1.7,1,0,0
"350","FCR",50,2016-05-16 12:00:00,6.2,6.9,3.4,1,0,0
"351","FCR",50,2016-05-16 12:00:00,5,8.2,3.6,1,0,0
"352","BVR",50,2016-05-19 12:00:00,7,8.6,4.2,1,0,0
"353","FCR",50,2016-05-23 12:00:00,5,11.9,5.2,1,0,0
"354","FCR",50,2016-05-23 12:00:00,6,10.4,5.6,1,0,0
"355","BVR",50,2016-05-26 12:00:00,9,56.7,9.5,1,0,0
"356","BVR",50,2016-05-29 12:00:00,9,46.3,9.9,1,0,0
"357","FCR",50,2016-05-30 12:00:00,1.6,4.2,0.8,1,1,1
"358","FCR",50,2016-05-30 12:00:00,6.2,4.2,2.3,1,1,1
"359","FCR",50,2016-05-30 12:00:00,5,4.2,3.3,1,0,0
