"Reservoir","Site","DateTime","Depth_m","Chla_ugL","Pheo_ugL","Flag_Chla_ugL","Flag_Pheo_ugL"
"FCR",50,2016-05-09 12:00:00,5,5.5,2.4,0,0
"BVR",50,2016-05-12 12:00:00,7.5,8.3,1.7,0,0
"FCR",50,2016-05-16 12:00:00,6.2,6.9,3.4,0,0
"FCR",50,2016-05-16 12:00:00,5,8.2,3.6,0,0
"BVR",50,2016-05-19 12:00:00,7,8.6,4.2,0,0
"FCR",50,2016-05-23 12:00:00,5,11.9,5.2,0,0
"FCR",50,2016-05-23 12:00:00,6,10.4,5.6,0,0
"BVR",50,2016-05-26 12:00:00,9,56.7,9.5,0,0
"BVR",50,2016-05-29 12:00:00,9,46.3,9.9,0,0
"FCR",50,2016-05-30 12:00:00,1.6,4.2,0.8,1,1
"FCR",50,2016-05-30 12:00:00,6.2,4.2,2.3,1,1
"FCR",50,2016-05-30 12:00:00,5,4.2,3.3,0,0
"FCR",50,2016-05-30 12:00:00,1.6,4.2,3.8,0,0
"FCR",50,2016-05-31 12:00:00,5,4.8,3.1,0,0
"FCR",50,2016-05-31 12:00:00,6.2,4.8,4.6,0,0
"BVR",50,2016-05-31 12:00:00,9,38,10.3,0,0
"FCR",50,2016-06-02 12:00:00,1.6,4.8,2.6,0,0
"FCR",50,2016-06-02 12:00:00,5,5.5,2.9,0,0
"BVR",50,2016-06-02 12:00:00,7,15.2,5.2,0,0
"FCR",50,2016-06-06 12:00:00,5,9.7,2.8,0,0
"FCR",50,2016-06-06 12:00:00,3.8,11.1,2.9,0,0
"BVR",50,2016-06-08 12:00:00,6,3.5,2.9,0,0
"BVR",50,2016-06-08 12:00:00,9,68.7,10.7,0,0
"FCR",50,2016-06-13 12:00:00,1.6,4.2,1.8,0,0
"FCR",50,2016-06-13 12:00:00,3.8,11.4,2.8,0,0
"FCR",50,2016-06-13 12:00:00,5,9,3.5,0,0
"BVR",50,2016-06-16 12:00:00,6,2.9,1,0,0
"BVR",50,2016-06-16 12:00:00,9,76.7,15.1,0,0
"FCR",50,2016-06-20 12:00:00,3.8,13.4,7.8,0,0
"FCR",50,2016-06-20 12:00:00,5,12.3,7.8,0,0
"BVR",50,2016-06-23 12:00:00,5,5.4,2,0,0
"BVR",50,2016-06-23 12:00:00,9,48.1,10.2,0,0
"BVR",50,2016-06-26 12:00:00,6,9.2,4.7,0,0
"BVR",50,2016-06-26 12:00:00,9,85.8,16.1,0,0
"FCR",50,2016-06-27 12:00:00,5,9.8,7.1,0,0
"FCR",50,2016-06-27 12:00:00,3.8,9.7,7.2,0,0
"BVR",50,2016-06-28 12:00:00,4,5.5,1.7,0,0
"FCR",50,2016-06-28 12:00:00,1.6,5.2,3.8,0,0
"FCR",50,2016-06-28 12:00:00,5,6.9,4.2,0,0
"FCR",50,2016-06-28 12:00:00,3.8,6.1,4.5,0,0
"BVR",50,2016-06-28 12:00:00,9,95.1,13.5,0,0
"BVR",50,2016-06-30 12:00:00,4,8.6,3.8,0,0
"FCR",50,2016-06-30 12:00:00,4.1,6.9,3.9,0,0
"FCR",50,2016-06-30 12:00:00,5,7.5,5.8,0,0
"BVR",50,2016-06-30 12:00:00,9,158,22,0,0
"FCR",50,2016-07-05 12:00:00,1.6,7.8,4.2,0,0
"FCR",50,2016-07-05 12:00:00,3.8,10.7,6,0,0
"BVR",50,2016-07-07 12:00:00,5,13.4,6.1,0,0
"BVR",50,2016-07-07 12:00:00,9,93.6,12.9,0,0
"FCR",50,2016-07-11 12:00:00,3.8,7.9,4,0,0
"FCR",50,2016-07-11 12:00:00,5,11.1,4.8,0,0
"BVR",50,2016-07-14 12:00:00,4,13.8,6.8,0,0
"BVR",50,2016-07-14 12:00:00,7.5,54.6,14.8,0,0
"FCR",50,2016-07-18 12:00:00,5,7.1,3.7,0,0
