Reservoir,Site,Date,Depth_m,Rep,NH4_ugL,PO4_ugL,NO3NO2_ugL,DIC_mgL,DC_mgL,DOC_mgL,DN_mgL,TP_ugL,TN_ugL
FCR,100.1,4/22/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,15,146
FCR,100.1,4/22/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,18.5,133.2392464
FCR,100.1,5/6/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,41.9,295.5745602
FCR,100.1,5/6/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,47.2,344.088615
FCR,100.1,5/20/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,597.1,3199
FCR,100.1,5/20/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,585.9,3346
FCR,100.1,6/3/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,38.9,454
FCR,100.1,6/3/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,94.5,865
SUNP,Buoy,6/3/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,8.57,307
SUNP,Harbor,6/12/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,5.58,185
SUNP,Midge,6/12/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,12.1,318
SUNP,Buoy,6/13/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,5.24,195
SUNP,Harbor,6/13/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,12.5,340
SUNP,Harbor,6/13/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,8.01,206
FCR,100.1,6/17/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,64.2,425
FCR,100.1,6/17/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,44.9,291
SUNP,Buoy,6/18/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,5.54,159
SUNP,Harbor,6/18/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,6.3,188
SUNP,Midge,6/18/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,5.43,186
SUNP,Midge,6/20/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,14,315
SUNP,Buoy,6/25/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,6.02,349
SUNP,Harbor,6/25/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.71,188
SUNP,Midge,6/25/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,9.53,297
SUNP,Buoy,6/28/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,11.7,339
SUNP,Harbor,6/28/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,8.21,246
SUNP,Harbor,6/28/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,9.35,221
SUNP,Harbor,6/28/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,11.8,392
SUNP,Midge,6/28/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,6.08,185
FCR,100.1,7/1/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,177,906
FCR,100.1,7/1/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,63.6,361
FCR,100.1,7/1/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,21.8,100
SUNP,Midge,7/3/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,7.86,317
SUNP,Buoy,7/10/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.35,168
SUNP,Buoy,7/10/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,9.18,329
SUNP,Harbor,7/10/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,3.12,177
SUNP,Midge,7/10/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,4.46,247
SUNP,Midge,7/10/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,8.27,378
FCR,100.1,7/15/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,128,697
SUNP,Buoy,7/16/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.98,193
SUNP,Harbor,7/16/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,10.2,200
SUNP,Midge,7/16/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,5.56,168
SUNP,Buoy,7/19/2024,10,1,NA,NA,NA,NA,NA,NA,NA,7.07,258
SUNP,Buoy,7/23/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,8.02,269
SUNP,Buoy,7/23/2024,10,1,NA,NA,NA,NA,NA,NA,NA,8.12,251
SUNP,Buoy,7/23/2024,10,1,NA,NA,NA,NA,NA,NA,NA,10.1,242
SUNP,Harbor,7/23/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,7.11,230
SUNP,Midge,7/23/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,6.88,170
FCR,100.1,7/29/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,106,394
SUNP,Harbor,8/8/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.24,161
SUNP,Midge,8/8/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,2.75,154
SUNP,Harbor,8/16/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,4.89,251
SUNP,Midge,8/16/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,6.49,268
FCR,100.1,8/19/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,365,1686
FCR,100.1,8/19/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,429,2040
SUNP,Harbor,8/23/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.43,171
SUNP,Midge,8/23/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,5.58,175
SUNP,Harbor,8/30/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,5.2,396
SUNP,Midge,8/30/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.56,164
FCR,100.1,9/2/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,476,1882
FCR,100.1,9/2/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,440,2140
SUNP,Harbor,9/6/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,9.88,318
SUNP,Midge,9/6/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,7.64,274
FCR,100.1,9/9/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,112,679
FCR,100.1,9/9/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,114,626
SUNP,Harbor,9/12/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,9.69,293
SUNP,Midge,9/12/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,5.32,163
SUNP,Harbor,9/19/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,3.53,152
SUNP,Midge,9/19/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,8.45,301
SUNP,Harbor,9/30/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,7.13,268
SUNP,Midge,9/30/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,12.3,279
FCR,100.1,10/15/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,82.7,787
FCR,100.1,10/15/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,65.5,559
FCR,100.1,10/29/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,58.8,435
FCR,100.1,10/29/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,20.9,182
FCR,100.1,11/19/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,24.5,131
FCR,100.1,11/19/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,29.3,104
FCR,100.1,12/3/2024,0.1,1,NA,NA,NA,NA,NA,NA,NA,24.3,94.2
FCR,100.1,12/3/2024,0.1,2,NA,NA,NA,NA,NA,NA,NA,38.1,190
