Site Name,FCR IN FLO
Isco Quantity,Sample Event
Label,Sample Event
Units,SU
Resolution, 0.1 
Significant Digits,0

5/3/2020 5:07:00 AM,0
5/3/2020 8:15:00 AM,0
5/3/2020 11:25:00 AM,0
5/3/2020 2:38:00 PM,0
5/3/2020 5:51:00 PM,0
5/3/2020 9:06:00 PM,0
5/4/2020 12:21:00 AM,0
5/4/2020 3:34:00 AM,0
5/4/2020 6:47:00 AM,0
5/4/2020 10:04:00 AM,0
5/4/2020 1:22:00 PM,0
5/4/2020 4:42:00 PM,0
5/4/2020 8:02:00 PM,0
5/4/2020 11:23:00 PM,0
5/5/2020 2:45:00 AM,0
5/5/2020 6:09:00 AM,0
5/5/2020 9:37:00 AM,0
5/11/2020 8:26:00 PM,0
5/12/2020 1:38:00 AM,0
5/12/2020 6:58:00 AM,0
5/12/2020 12:26:00 PM,0
5/12/2020 5:59:00 PM,0
5/12/2020 11:47:00 PM,0
5/13/2020 5:42:00 AM,0
5/13/2020 11:44:00 AM,0
5/13/2020 5:56:00 PM,0
5/14/2020 12:11:00 AM,0
5/14/2020 6:29:00 AM,0
5/14/2020 12:51:00 PM,0
5/14/2020 6:47:00 PM,0
5/14/2020 11:33:00 PM,0
5/15/2020 4:59:00 AM,0
5/15/2020 10:33:00 AM,0
5/15/2020 4:24:00 PM,0
5/15/2020 10:26:00 PM,0
5/16/2020 4:35:00 AM,0
5/16/2020 10:49:00 AM,0
5/16/2020 5:18:00 PM,0
5/16/2020 11:58:00 PM,0
5/17/2020 6:39:00 AM,0
5/17/2020 1:29:00 PM,0
5/17/2020 8:32:00 PM,0
5/18/2020 3:36:00 AM,0
5/18/2020 10:36:00 AM,0
5/18/2020 5:27:00 PM,0
5/18/2020 11:50:00 PM,0
5/19/2020 3:35:00 AM,0
5/19/2020 7:08:00 AM,0
5/19/2020 9:55:00 AM,0
5/19/2020 12:17:00 PM,0
5/19/2020 2:48:00 PM,0
5/19/2020 5:06:00 PM,0
5/19/2020 7:19:00 PM,0
5/19/2020 9:29:00 PM,0
5/19/2020 11:37:00 PM,0
5/20/2020 1:41:00 AM,0
5/20/2020 3:47:00 AM,0
5/20/2020 5:55:00 AM,0
5/20/2020 8:04:00 AM,0
5/20/2020 10:01:00 AM,0
5/20/2020 11:59:00 AM,0
5/20/2020 1:54:00 PM,0
5/20/2020 3:46:00 PM,0
5/20/2020 5:33:00 PM,0
5/20/2020 7:07:00 PM,0
5/20/2020 8:42:00 PM,0
5/20/2020 10:20:00 PM,0
5/21/2020 12:01:00 AM,0
5/21/2020 1:42:00 AM,0
5/21/2020 3:21:00 AM,0
5/21/2020 5:02:00 AM,0
5/21/2020 6:43:00 AM,0
5/21/2020 8:26:00 AM,0
