Detection Date,Run File Name,Sample ID,Cup Number,Auto Dilution Factor,Manual Dilution Factor,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration,Analyte Name,Concentration Units,Peak Height,Peak Area,Peak Concentration
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S86,136,1,1,TN,ug N/L,0.313,4.42,124,TP,ug P/L,0.116,2.06,15.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S87,137,1,1,TN,ug N/L,0.886,12.1,496,TP,ug P/L,0.137,2.4,26.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S88,138,1,1,TN,ug N/L,0.568,7.92,293,TP,ug P/L,0.131,2.3,23.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S89,139,1,1,TN,ug N/L,0.761,11,442,TP,ug P/L,0.146,2.52,30.6
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S90,140,1,1,TN,ug N/L,0.563,7.97,295,TP,ug P/L,0.136,2.33,24.4
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,dupS85,141,1,1,TN,ug N/L,0.661,9.13,351,TP,ug P/L,0.137,2.38,25.8
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,spkS90,142,1,1,TN,ug N/L,0.95,13.2,551,TP,ug P/L,0.182,3.15,51.2
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,chk25/250,17,1,1,TN,ug N/L,0.525,7.47,271,TP,ug P/L,0.132,2.28,22.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,water,S3,1,1,TN,ug N/L,0.00976,-0.017,-85.8,TP,ug P/L,0.0955,1.17,-13.5
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,bisulfate,S4,1,1,TN,ug N/L,-0.0151,-0.318,-99.9,TP,ug P/L,0.0203,0.195,-44.7
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S91,143,1,1,TN,ug N/L,0.764,10.2,405,TP,ug P/L,0.133,2.36,25.3
2/22/2023,OM_2-22-2023_11-17-20AM.OMN,S92,144,1,1,TN,ug N/L,0.592,8.13,303,TP,ug P/L,0.137,2.43,27.4
