"Reading Date","FCR DO Temperature (degC)","FCR DO Pressure (PSI)","FCR DO Power (V)","FCR DO Dissolved Oxygen (ppm)","FCR DO Temperature (degC)","Temperature Modem (degC)","Vbattery Modem (Volts)","Vcommon Modem (Volts)"
"- null date -","","","","","","","",""
"11/02/15 23:00:00","","","","","","10.850","13.230","13.178"
"- null date -","","","","","","","",""
"11/02/15 22:45:09","12.875","26.493","13.175","9.129","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 22:30:09","12.875","26.498","13.175","9.129","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 22:15:09","12.875","26.500","13.175","9.110","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 22:00:09","12.875","26.502","13.175","9.120","12.980","","",""
"- null date -","","","","","","","",""
"11/02/15 22:00:00","","","","","","10.998","13.230","13.222"
"- null date -","","","","","","","",""
"11/02/15 21:45:09","12.875","26.502","13.204","9.110","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 21:30:09","12.875","26.498","13.204","9.080","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 21:15:09","12.875","26.491","13.175","9.059","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 21:00:09","12.875","26.495","13.175","9.080","12.980","","",""
"- null date -","","","","","","","",""
"11/02/15 21:00:00","","","","","","10.998","13.265","12.530"
"- null date -","","","","","","","",""
"11/02/15 20:45:09","12.812","26.486","13.204","9.129","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 20:30:09","12.875","26.489","13.204","9.139","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 20:15:09","12.875","26.493","13.204","9.120","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 20:00:09","12.875","26.496","13.175","9.110","12.980","","",""
"- null date -","","","","","","","",""
"11/02/15 20:00:00","","","","","","11.096","13.257","13.239"
"- null date -","","","","","","","",""
"11/02/15 19:45:09","12.875","26.495","13.204","9.139","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 19:30:09","12.875","26.488","13.204","9.139","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 19:15:09","12.875","26.492","13.204","9.139","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 19:00:09","12.812","26.495","13.204","9.120","12.970","","",""
"- null date -","","","","","","","",""
"11/02/15 19:00:00","","","","","","11.683","13.300","13.265"
"- null date -","","","","","","","",""
"11/02/15 18:45:09","12.875","26.483","13.234","9.139","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 18:30:09","12.875","26.489","13.234","9.139","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 18:15:09","12.875","26.486","13.234","9.110","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 18:00:09","12.875","26.485","13.264","9.089","12.990","","",""
"- null date -","","","","","","","",""
"11/02/15 18:00:00","","","","","","11.925","13.327","13.309"
"- null date -","","","","","","","",""
"11/02/15 17:45:09","12.875","26.478","13.294","9.120","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 17:30:09","12.875","26.474","13.324","9.120","12.980","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 17:15:09","12.875","26.463","13.324","9.129","12.970","","",""
"- null date -","","","","","","","",""
"- null date -","","","","","","","",""
"11/02/15 17:00:09","12.875","26.473","13.413","9.120","12.970","","",""
