Date,Depth_m,Temp_C,CDOM_ugL,Chla_ugL,Phycoerythrin,Phycocyanin,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,PAR_umolm2s,Salinity,Desc_rate,Flag,Reservoir,Cast_Number
2023-06-27T12:44:42Z,1.179,18.7276,4.59,0.7733,0.0852,1.2267,3.0185,34.932912,39.961,3.7752,40.469,14.73,2.4339033576858378,0.025,0,FCR,3
2023-06-27T12:44:42Z,1.185,18.7224,4.59,0.7695,0.0852,1.2267,3.1087,34.920331,39.954,3.7524,41.175,14.829,2.43375110466002,0.029,0,FCR,3
2023-06-27T12:44:42Z,1.193,18.7166,4.59,0.7695,0.0852,1.2267,2.9734,34.891002,39.932,3.738,42.245,14.868,2.432662757196688,0.032,0,FCR,3
2023-06-27T12:44:42Z,1.203,18.7108,4.59,0.7657,0.0852,1.2267,3.1087,34.860869,39.915,3.7429,43.599,13.515,2.4318977305117855,0.034,0,FCR,3
2023-06-27T12:44:42Z,1.214,18.7044,4.59,0.7581,0.0426,1.269,2.6879,34.841701,39.912,3.7761,45.082,13.002,2.4320734008707214,0.033,0,FCR,3
2023-06-27T12:44:42Z,1.224,18.6961,4.59,0.7657,0.0426,1.269,2.748,34.836305,39.922,3.8427,46.498,12.912,2.433200707301554,0.031,0,FCR,3
2023-06-27T12:44:42Z,1.231,18.6832,4.59,0.7733,0.0426,1.269,2.748,34.839282,39.937,3.9437,47.63,12.957,2.4349187406608825,0.027,0,FCR,3
2023-06-27T12:44:42Z,1.237,18.6644,4.59,0.7505,0.0426,1.269,2.6879,34.847465,39.954,4.0717,48.276,13.022,2.4371095632476543,0.023,0,FCR,3
2023-06-27T12:44:42Z,1.242,18.6436,4.5,0.6932,0.0426,1.0998000000000001,2.6277,34.855113,39.967,4.2119,48.319,13.045,2.4391590922821416,0.018,0,FCR,3
2023-06-27T12:44:42Z,1.246,18.626,4.5,0.7085,0.0426,1.0998000000000001,2.748,34.856345,39.972,4.3458,47.776,13.102,2.440505576608302,0.014,0,FCR,3
2023-06-27T12:44:42Z,1.248,18.6135,4.5,0.7314,0.0426,1.0998000000000001,2.6578,34.855449,39.974,4.4526,46.774,13.119,2.4413618749102812,0.011,0,FCR,3
2023-06-27T12:44:42Z,1.25,18.6053,4.5,0.7161,0.0426,1.0998000000000001,2.6578,34.856148,39.977,4.5136,45.491,13.087,2.4420333648393098,0.008,0,FCR,3
2023-06-27T12:44:42Z,1.252,18.5998,4.59,0.7238,0.0852,1.0575,2.6578,34.858628,39.981,4.5181,44.113,13.176,2.442612878925665,0.006,0,FCR,3
2023-06-27T12:44:42Z,1.253,18.5958,4.59,0.7123,0.0852,1.0575,2.6728,34.85959,39.982,4.4677,42.805,13.159,2.4429105280790697,0.005,0,FCR,3
2023-06-27T12:44:42Z,1.254,18.5926,4.59,0.6932,0.0852,1.0575,2.6127,34.855328,39.976,4.3743,41.678,13.136,2.4427072651272295,0.004,0,FCR,3
2023-06-27T12:44:42Z,1.255,18.5903,4.59,0.7085,0.0852,1.0575,2.6879,34.848667,39.968,4.2545,40.779,13.124,2.4423217645524455,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.256,18.5896,4.59,0.7199,0.0852,1.0575,2.6728,34.841793,39.96,4.1257,40.101,13.085,2.4418431380049075,0.003,0,FCR,3
2023-06-27T12:44:42Z,1.256,18.5901,4.59,0.6894,0.0852,1.0152,2.5977,34.832873,39.949,4.0033,39.608,13.133,2.44109999127785,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.257,18.5907,4.59,0.7047,0.0852,1.0152,2.6578,34.823487,39.937,3.8979,39.254,13.099,2.440286122444025,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.257,18.5914,4.59,0.7314,0.0852,1.0152,2.7179,34.815095,39.925,3.8137,39.011,13.139,2.439466512191756,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.258,18.5921,4.59,0.7199,0.0852,1.0152,2.8081,34.805459,39.913,3.7502,38.867,13.167,2.4386469177909516,0.002,0,FCR,3
2023-06-27T12:44:42Z,1.258,18.593,4.59,0.7352,0.0852,1.0575,2.5977,34.795969,39.902,3.704,38.807,13.124,2.437880685387426,0.002,0,FCR,3
