"","Reservoir","Site","DateTime","Depth_m","Rep","RunDate","NH4_ugL","PO4_ugL","NO3NO2_ugL","Notes_lachat","SampleID_lachat","Flag_NH4","Flag_PO4","Flag_NO3NO2","RunDate_DOC","DOC_mgL","DIC_mgL","DC_mgL","DN_mgL","Notes_DOC","SampleID_DOC","Flag_DOC","Flag_DIC","Flag_DC","Flag_DN"
"117","FCR","100",2019-05-20,0.1,"","2019-10-07",7.5,7,67.5,"","",0,0,0,"2019-11-01","3.1","1.6","4.7","0.2","","",0,0,0,0
"118","FCR","200",2019-05-20,0.1,"","2019-10-21",32.1,5.47,42.3,"","",0,0,0,"2019-10-22","2.3","4.8","7","0.2","","",0,0,0,0
"119","BVR","50",2019-05-23,3,"","2019-10-21",9.65,3.93,30.5,"","",0,0,0,"2019-10-21","3.2","2.6","5.8","0.2","","",0,0,0,0
"120","BVR","50",2019-05-23,6,"","2019-10-21",14,3.58,2.19,"","",0,0,3,"2019-10-22","3.1","2.4","5.5","0.2","","",0,0,0,0
"121","BVR","50",2019-05-23,9,"","2019-10-21",217,1.97,2.71,"","",0,0,3,"2019-10-23","2.4","3.3","5.7","0.3","","",0,0,0,0
"122","BVR","50",2019-05-23,11,"","2020-01-07",863,8.53,0.432,"","",0,0,3,"2019-10-22","3.4","4.4","7.8","1.1","","",0,0,0,0
"123","BVR","50",2019-05-23,0.1,"","2019-10-21",12.8,2.19,0.649,"","",0,0,3,"2019-10-23","2.7","2.6","5.2","0.1","","",0,0,0,0
"124","FCR","50",2019-05-27,0.1,"","2019-10-21",6.97,2.47,2.04,"","",0,0,3,"2019-10-21","2.6","3.4","6.1","0.1","","",0,0,0,0
"125","FCR","50",2019-05-27,3.8,"","2019-10-07",5.323346561,4.77062909,0,"","",0,0,3,"2020-03-17","0.7","3.95","4.65","0.1","had a strange sampleID written, but 3.8m is the only sample missing from this day, so forcing the depth to 3.8","F 27may19 s 0",7,7,7,7
"126","FCR","50",2019-05-27,5,"","2019-10-07",9.3,3.7,0,"","",0,0,3,"2020-03-18","1.4","2.8","4.2","0.1","","F 27may19 s 5",0,0,0,0
"127","FCR","50",2019-05-27,6.2,"","2019-10-21",3.8,1.24,0.38,"","",3,3,3,"2019-10-22","2","3.2","5.2","0.1","","",0,0,0,0
"128","FCR","50",2019-05-27,8,"","2019-10-21",5.19,2.79,3.25,"","",0,0,3,"2019-10-21","1.9","3.4","5.4","0.1","","",0,0,0,0
