ICP-MS Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick/Cissy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7Li (STDR),23Na (STDR),24Mg (STDR),27Al (STDR),29Si (STDR),31P (STDR),34S (STDR),35Cl (STDR),39K (STDR),44Ca (STDR),47Ti (STDR),51V (STDR),52Cr (STDR),54Fe (STDR),55Mn (STDR),59Co (STDR),60Ni (STDR),65Cu (STDR),66Zn (STDR),75As (STDR),78Se (STDR),88Sr (STDR),95Mo (STDR),107Ag (STDR),111Cd (STDR),120Sn (STDR),138Ba (STDR),208Pb (STDR),238U (STDR)
,Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppm),Y (ppm),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb),Y (ppb)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08/16/2021 - 2,0.4,"3,426.0","1,137.0",14.8,"6,145.0",4.6,0.3,4.0,"5,847.0","2,513.0",0.6,-0.1,0.1,267.5,7.4,0.0,0.1,5.5,32.1,0.0,0.4,16.5,-0.1,0.0,0.0,-0.7,20.4,0.2,0.0
08/16/2021 - 3,0.5,"3,370.4","1,153.7",17.9,"6,137.4",9.6,0.2,0.2,"1,210.5","2,565.5",0.6,0.0,0.0,501.0,13.6,0.1,0.0,1.0,2.6,0.0,0.5,16.7,-0.1,0.0,0.0,-1.4,19.3,0.2,0.0
08/16/2021 - 4,0.5,"3,456.3","1,139.9",10.4,"6,015.7",3.8,0.1,0.3,"1,289.7","2,529.1",0.4,-0.1,0.0,248.9,3.5,0.0,0.1,3.8,25.7,0.1,0.6,16.5,0.1,0.0,0.0,-0.4,20.9,0.2,0.0
08/16/2021 - 5,0.5,"3,217.6","1,163.2",24.8,"7,263.6",18.5,0.2,0.4,"1,237.6","2,804.6",0.8,-0.1,0.1,422.6,18.4,0.1,0.0,0.6,1.8,0.0,0.6,18.7,0.0,0.0,0.0,-0.6,30.1,0.2,0.0
08/16/2021 - 6,0.4,"3,233.8","1,161.0",9.7,"7,225.3",4.2,0.1,0.5,"1,306.8","2,800.6",0.4,-0.2,0.1,45.1,6.2,0.0,0.0,1.5,17.6,0.0,0.6,18.6,-0.1,0.0,0.0,-0.6,31.3,0.2,0.0
08/16/2021 - 7,0.4,"3,035.5","1,130.9",24.3,"7,830.6",26.3,0.0,0.4,"1,263.6","3,079.3",0.9,-0.1,0.0,984.2,913.6,1.8,0.0,0.3,4.2,0.0,0.3,20.2,-0.1,0.0,0.0,-0.7,51.1,0.2,0.0
08/16/2021 - 8,0.4,"3,053.6","1,138.6",10.2,"7,838.5",0.4,0.0,0.5,"1,343.9","3,052.6",0.8,-0.2,0.0,3.5,865.2,1.6,0.0,1.4,37.7,0.0,0.2,20.3,-0.1,0.0,0.0,-0.7,64.5,0.2,0.0
08/16/2021 - 9,0.4,"2,837.5","1,120.3",11.5,"8,112.2",10.7,-0.1,0.2,"1,207.0","3,120.9",0.5,-0.2,0.0,"2,605.8","1,429.3",2.9,0.0,0.1,1.6,0.0,0.3,20.4,-0.1,0.0,0.0,-0.7,63.0,0.2,0.0
08/16/2021 - 10,0.4,"2,877.9","1,118.8",9.8,"8,009.7",0.0,-0.1,0.3,"1,264.0","3,111.0",0.5,-0.2,0.1,4.7,"1,387.5",2.8,0.0,1.1,24.4,0.0,0.4,20.4,-0.1,0.0,0.0,-0.7,64.1,0.2,0.0
08/16/2021 - 11,0.4,"2,835.3","1,115.2",12.2,"8,056.7",10.7,-0.1,0.2,"1,193.2","3,072.2",0.7,-0.2,0.0,"2,891.6","1,320.2",2.7,0.0,0.1,5.2,0.0,0.2,20.2,-0.1,0.0,0.0,-0.7,61.7,0.2,0.0
08/16/2021 - 12,0.4,"2,834.8","1,111.7",9.0,"7,909.3",-1.2,-0.1,0.3,"1,264.9","3,057.7",0.5,-0.2,0.0,2.8,"1,287.9",2.6,0.0,1.3,19.4,0.0,0.4,20.2,-0.1,0.0,0.0,-0.7,61.5,0.2,0.0
08/16/2021 - 13,0.4,"2,886.7","1,129.9",16.7,"8,085.4",9.9,0.0,0.2,"1,219.0","3,113.7",0.5,-0.2,0.0,"2,949.7","1,315.4",2.7,0.1,0.2,14.2,0.0,0.4,20.5,-0.1,0.0,0.0,-0.7,60.9,0.3,0.0
08/16/2021 - 14,0.4,"2,884.0","1,124.5",8.2,"7,969.3",-1.4,-0.4,0.2,"1,241.6","3,071.9",0.5,-0.2,0.0,-1.6,"1,311.3",2.7,0.0,0.8,16.1,0.0,0.4,20.3,0.0,0.0,0.0,-0.5,62.0,0.2,0.0
08/16/2021 - 15,0.7,"3,269.2",862.3,180.7,"10,701.8",25.0,-0.1,-0.1,"1,254.6","2,321.1",3.8,0.3,0.2,321.4,35.8,0.2,0.1,0.4,1.8,0.0,0.1,15.0,0.0,0.0,0.0,-0.6,21.3,0.6,0.0
