Date,Depth_m,PAR,Chla_ugL
2020-08-19T20:06:54Z,0.744,17.938,1.8043
2020-08-19T20:06:54Z,0.751,17.81,1.8123
2020-08-19T20:06:54Z,0.756,17.634,1.8253
2020-08-19T20:06:54Z,0.761,17.422,1.8374
2020-08-19T20:06:54Z,0.766,17.286,1.8535
2020-08-19T20:06:54Z,0.774,17.174,1.867
2020-08-19T20:06:54Z,0.781,17.042,1.8769
2020-08-19T20:06:54Z,0.782,16.982,1.9166
2020-08-19T20:06:54Z,0.781,16.986,1.9754
2020-08-19T20:06:54Z,0.781,17.054,2.0063
2020-08-19T20:06:54Z,0.786,17.167,2.0134
2020-08-19T20:06:54Z,0.792,17.243,1.9854
2020-08-19T20:06:54Z,0.8,17.296,1.924
2020-08-19T20:06:54Z,0.81,17.38,1.8906
2020-08-19T20:06:54Z,0.821,17.468,1.8966
2020-08-19T20:06:54Z,0.833,17.46,1.9109
2020-08-19T20:06:54Z,0.847,17.37,1.9205
2020-08-19T20:06:54Z,0.862,17.292,1.9268
2020-08-19T20:06:54Z,0.872,17.245,1.9397
2020-08-19T20:06:54Z,0.882,17.216,1.9713
2020-08-19T20:06:54Z,0.891,17.197,2.0042
2020-08-19T20:06:54Z,0.899,17.181,2.0131
2020-08-19T20:06:54Z,0.905,17.183,2.0124
2020-08-19T20:06:54Z,0.912,17.21,2.0144
2020-08-19T20:06:54Z,0.918,17.244,2.0461
2020-08-19T20:06:54Z,0.923,17.299,2.1097
2020-08-19T20:06:54Z,0.927,17.395,2.1444
2020-08-19T20:06:54Z,0.931,17.541,2.1514
2020-08-19T20:06:54Z,0.935,17.717,2.1554
2020-08-19T20:06:54Z,0.939,17.882,2.155
2020-08-19T20:06:54Z,0.942,18.05,2.1472
2020-08-19T20:06:54Z,0.946,18.226,2.128
2020-08-19T20:06:54Z,0.949,18.375,2.1221
2020-08-19T20:06:54Z,0.953,18.5,2.1336
2020-08-19T20:06:54Z,0.957,18.598,2.1426
2020-08-19T20:06:54Z,0.96,18.669,2.1555
2020-08-19T20:06:54Z,0.963,18.714,2.2033
2020-08-19T20:06:54Z,0.967,18.726,2.2724
2020-08-19T20:06:54Z,0.971,18.741,2.2942
2020-08-19T20:06:54Z,0.974,18.782,2.2771
2020-08-19T20:06:54Z,0.977,18.841,2.2564
2020-08-19T20:06:54Z,0.98,18.93,2.2343
2020-08-19T20:06:54Z,0.983,19.061,2.2197
2020-08-19T20:06:54Z,0.986,19.205,2.2133
2020-08-19T20:06:54Z,0.988,19.302,2.2142
2020-08-19T20:06:54Z,0.991,19.371,2.2209
2020-08-19T20:06:54Z,0.993,19.462,2.2269
2020-08-19T20:06:54Z,0.996,19.547,2.2201
2020-08-19T20:06:54Z,0.999,19.6,2.2148
2020-08-19T20:06:54Z,1.003,19.624,2.2401
2020-08-19T20:06:54Z,1.007,19.631,2.2874
2020-08-19T20:06:54Z,1.01,19.627,2.3104
2020-08-19T20:06:54Z,1.014,19.608,2.2984
2020-08-19T20:06:54Z,1.016,19.582,2.2953
2020-08-19T20:06:54Z,1.017,19.545,2.3098
2020-08-19T20:06:54Z,1.016,19.504,2.3024
2020-08-19T20:06:54Z,1.016,19.479,2.2817
2020-08-19T20:06:54Z,1.018,19.435,2.3271
2020-08-19T20:06:54Z,1.023,19.379,2.4231
2020-08-19T20:06:54Z,1.028,19.359,2.4786
2020-08-19T20:06:54Z,1.031,19.358,2.4925
2020-08-19T20:06:54Z,1.032,19.353,2.5725
2020-08-19T20:06:54Z,1.037,19.332,2.7396
2020-08-19T20:06:54Z,1.045,19.298,2.8343
2020-08-19T20:06:54Z,1.055,19.257,2.8307
2020-08-19T20:06:54Z,1.065,19.207,2.8207
2020-08-19T20:06:54Z,1.072,19.191,2.7705
2020-08-19T20:06:54Z,1.077,19.214,2.6811
2020-08-19T20:06:54Z,1.079,19.208,2.6363
2020-08-19T20:06:54Z,1.083,19.158,2.6198
2020-08-19T20:06:54Z,1.094,19.108,2.5297
2020-08-19T20:06:54Z,1.109,19.1,2.3765
2020-08-19T20:06:54Z,1.119,19.125,2.2928
2020-08-19T20:06:54Z,1.123,19.119,2.2804
2020-08-19T20:06:54Z,1.129,19.068,2.2752
2020-08-19T20:06:54Z,1.138,19.029,2.2777
2020-08-19T20:06:54Z,1.146,19.01,2.282
2020-08-19T20:06:54Z,1.151,18.971,2.2888
2020-08-19T20:06:54Z,1.156,18.93,2.3493
2020-08-19T20:06:54Z,1.164,18.903,2.4711
2020-08-19T20:06:54Z,1.174,18.878,2.5503
2020-08-19T20:06:54Z,1.184,18.851,2.5624
2020-08-19T20:06:54Z,1.191,18.825,2.5514
2020-08-19T20:06:54Z,1.198,18.816,2.5028
2020-08-19T20:06:54Z,1.206,18.818,2.4325
2020-08-19T20:06:54Z,1.213,18.805,2.4066
2020-08-19T20:06:54Z,1.22,18.77,2.4189
2020-08-19T20:06:54Z,1.225,18.687,2.4384
2020-08-19T20:06:54Z,1.23,18.57,2.4704
2020-08-19T20:06:54Z,1.232,18.471,2.4906
2020-08-19T20:06:54Z,1.231,18.373,2.4921
2020-08-19T20:06:54Z,1.231,18.245,2.4701
2020-08-19T20:06:54Z,1.231,18.114,2.4241
2020-08-19T20:06:54Z,1.234,18,2.404
